tables,rowCount,source_table,schema,source_schema,source_filter,target_table,snapshot_name
WM_ITEM_GROUP_WMS,0,WM_ITEM_GROUP_WMS,SCDS_PRD,SCDS_PRD,1=1,WM_ITEM_GROUP_WMS,WM_ITEM_GROUP_WMS
WM_LABOR_TRAN_DTL_CRIT,0,WM_LABOR_TRAN_DTL_CRIT,SCDS_PRD,SCDS_PRD,1=1,WM_LABOR_TRAN_DTL_CRIT,WM_LABOR_TRAN_DTL_CRIT
WM_PICK_LOCN_DTL_SLOTTING,0,WM_PICK_LOCN_DTL_SLOTTING,SCDS_PRD,SCDS_PRD,1=1,WM_PICK_LOCN_DTL_SLOTTING,WM_PICK_LOCN_DTL_SLOTTING
WM_UN_NUMBER,0,WM_UN_NUMBER,SCDS_PRD,SCDS_PRD,1=1,WM_UN_NUMBER,WM_UN_NUMBER
WM_E_AUD_LOG,"1,566,023,065.00",WM_E_AUD_LOG,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_E_AUD_LOG,WM_E_AUD_LOG
WM_LABOR_MSG_DTL,"1,161,751,512.00",WM_LABOR_MSG_DTL,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_LABOR_MSG_DTL,WM_LABOR_MSG_DTL
WM_LABOR_MSG_DTL_CRIT,"955,651,868.00",WM_LABOR_MSG_DTL_CRIT,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_LABOR_MSG_DTL_CRIT,WM_LABOR_MSG_DTL_CRIT
WM_PIX_TRAN,"943,712,691.00",WM_PIX_TRAN,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_PIX_TRAN,WM_PIX_TRAN
WM_ORDER_LINE_ITEM,"513,657,364.00",WM_ORDER_LINE_ITEM,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_ORDER_LINE_ITEM,WM_ORDER_LINE_ITEM
WM_LPN_DETAIL,"371,650,392.00",WM_LPN_DETAIL,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_LPN_DETAIL,WM_LPN_DETAIL
WM_TASK_DTL,"285,161,410.00",WM_TASK_DTL,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_TASK_DTL,WM_TASK_DTL
WM_OUTPT_ORDER_LINE_ITEM,"260,355,377.00",WM_OUTPT_ORDER_LINE_ITEM,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_OUTPT_ORDER_LINE_ITEM,WM_OUTPT_ORDER_LINE_ITEM
WM_OUTPT_LPN_DETAIL,"236,023,001.00",WM_OUTPT_LPN_DETAIL,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_OUTPT_LPN_DETAIL,WM_OUTPT_LPN_DETAIL
WM_SLOT_ITEM_SCORE,"163,672,924.00",WM_SLOT_ITEM_SCORE,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_SLOT_ITEM_SCORE,WM_SLOT_ITEM_SCORE
WM_LABOR_MSG,"67,414,323.00",WM_LABOR_MSG,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_LABOR_MSG,WM_LABOR_MSG
WM_E_EVNT_SMRY_HDR,"49,324,476.00",WM_E_EVNT_SMRY_HDR,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_E_EVNT_SMRY_HDR,WM_E_EVNT_SMRY_HDR
WM_LPN,"32,084,653.00",WM_LPN,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_LPN,WM_LPN
WM_TASK_HDR,"23,466,585.00",WM_TASK_HDR,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_TASK_HDR,WM_TASK_HDR
WM_LABOR_MSG_CRIT,"18,189,001.00",WM_LABOR_MSG_CRIT,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_LABOR_MSG_CRIT,WM_LABOR_MSG_CRIT
WM_OUTPT_LPN,"12,868,286.00",WM_OUTPT_LPN,SCDS_PRD,SCDS_PRD,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",WM_OUTPT_LPN,WM_OUTPT_LPN
WM_LPN_AUDIT_RESULTS,"3,461,167.00",WM_LPN_AUDIT_RESULTS,SCDS_PRD,SCDS_PRD,1=1,WM_LPN_AUDIT_RESULTS,WM_LPN_AUDIT_RESULTS
WM_PURCHASE_ORDERS_LINE_ITEM,"2,793,872.00",WM_PURCHASE_ORDERS_LINE_ITEM,SCDS_PRD,SCDS_PRD,1=1,WM_PURCHASE_ORDERS_LINE_ITEM,WM_PURCHASE_ORDERS_LINE_ITEM
WM_ASN_DETAIL,"2,292,526.00",WM_ASN_DETAIL,SCDS_PRD,SCDS_PRD,1=1,WM_ASN_DETAIL,WM_ASN_DETAIL
