name,source_schema,source_table,snapshot_target_schema,snapshot_target_table,source_filter,test_target_schema,test_target_table,primary_key
WM_ITEM_GROUP_WMS,SCDS_PRD,WM_ITEM_GROUP_WMS,nzmigration,WM_ITEM_GROUP_WMS,1=1,dev_refine,WM_ITEM_GROUP_WMS,
WM_LABOR_TRAN_DTL_CRIT,SCDS_PRD,WM_LABOR_TRAN_DTL_CRIT,nzmigration,WM_LABOR_TRAN_DTL_CRIT,1=1,dev_refine,WM_LABOR_TRAN_DTL_CRIT,
WM_PICK_LOCN_DTL_SLOTTING,SCDS_PRD,WM_PICK_LOCN_DTL_SLOTTING,nzmigration,WM_PICK_LOCN_DTL_SLOTTING,1=1,dev_refine,WM_PICK_LOCN_DTL_SLOTTING,
WM_UN_NUMBER,SCDS_PRD,WM_UN_NUMBER,nzmigration,WM_UN_NUMBER,1=1,dev_refine,WM_UN_NUMBER,
WM_E_AUD_LOG,SCDS_PRD,WM_E_AUD_LOG,nzmigration,WM_E_AUD_LOG,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",dev_refine,WM_E_AUD_LOG,
WM_LABOR_MSG_DTL,SCDS_PRD,WM_LABOR_MSG_DTL,nzmigration,WM_LABOR_MSG_DTL,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",dev_refine,WM_LABOR_MSG_DTL,
WM_LABOR_MSG_DTL_CRIT,SCDS_PRD,WM_LABOR_MSG_DTL_CRIT,nzmigration,WM_LABOR_MSG_DTL_CRIT,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",dev_refine,WM_LABOR_MSG_DTL_CRIT,
WM_PIX_TRAN,SCDS_PRD,WM_PIX_TRAN,nzmigration,WM_PIX_TRAN,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",dev_refine,WM_PIX_TRAN,
WM_ORDER_LINE_ITEM,SCDS_PRD,WM_ORDER_LINE_ITEM,nzmigration,WM_ORDER_LINE_ITEM,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",dev_refine,WM_ORDER_LINE_ITEM,
WM_LPN_DETAIL,SCDS_PRD,WM_LPN_DETAIL,nzmigration,WM_LPN_DETAIL,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",dev_refine,WM_LPN_DETAIL,
WM_TASK_DTL,SCDS_PRD,WM_TASK_DTL,nzmigration,WM_TASK_DTL,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",dev_refine,WM_TASK_DTL,
WM_OUTPT_ORDER_LINE_ITEM,SCDS_PRD,WM_OUTPT_ORDER_LINE_ITEM,nzmigration,WM_OUTPT_ORDER_LINE_ITEM,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",dev_refine,WM_OUTPT_ORDER_LINE_ITEM,
WM_OUTPT_LPN_DETAIL,SCDS_PRD,WM_OUTPT_LPN_DETAIL,nzmigration,WM_OUTPT_LPN_DETAIL,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",dev_refine,WM_OUTPT_LPN_DETAIL,
WM_SLOT_ITEM_SCORE,SCDS_PRD,WM_SLOT_ITEM_SCORE,nzmigration,WM_SLOT_ITEM_SCORE,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",dev_refine,WM_SLOT_ITEM_SCORE,
WM_LABOR_MSG,SCDS_PRD,WM_LABOR_MSG,nzmigration,WM_LABOR_MSG,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",dev_refine,WM_LABOR_MSG,
WM_E_EVNT_SMRY_HDR,SCDS_PRD,WM_E_EVNT_SMRY_HDR,nzmigration,WM_E_EVNT_SMRY_HDR,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",dev_refine,WM_E_EVNT_SMRY_HDR,
WM_LPN,SCDS_PRD,WM_LPN,nzmigration,WM_LPN,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",dev_refine,WM_LPN,
WM_TASK_HDR,SCDS_PRD,WM_TASK_HDR,nzmigration,WM_TASK_HDR,"LOAD_TSTMP >= date_trunc('day', now() - interval '60 days') OR update_tstmp >= date_trunc('day', now() - interval '60 days')",dev_refine,WM_TASK_HDR,
